156,虹桥火车站,爱博三村,3室1厅,距13号线张江路站1300米,约11㎡,6楼,NaN,1360
157,虹桥火车站,爱博三村,3室1厅,NaN,约16㎡,6楼,NaN,1660
158,虹桥火车站,爱博三村,3室1厅,"距1号线,3号线上海南站站1050米",约17㎡,6楼,独立阳台,1700
159,虹桥火车站,爱博四村,2室1厅,NaN,约17㎡,1楼,独立阳台,1830
160,张江路,申城佳苑三期B块,3室1厅,"距1号线,3号线上海南站站1050米",约10㎡,12楼,NaN,1606
161,张江路,申城佳苑三期B块,3室1厅,NaN,约16㎡,12楼,独立阳台,1906
162,张江路,申城佳苑三期B块,3室1厅,距13号线张江路站1300米,约13㎡,12楼,NaN,1746
163,七宝,东方花园一期,3室1厅,NaN,约15㎡,1楼,NaN,1460
164,锦绣路,大华锦绣华城（十九街区）（公寓）,4室1厅,距13号线张江路站1300米,约14㎡,1楼,NaN,2226
165,张江路,申城佳苑三期B块,3室1厅,NaN,约16㎡,13楼,独立阳台,1876
166,御桥,地杰国际城f欧香四季,4室1厅,距9号线七宝站1750米,约14㎡,6楼,NaN,1500
167,七莘路,黎安一村,4室1厅,NaN,约10㎡,4楼,NaN,1846
168,锦绣路,锦博苑,4室1厅,距7号线锦绣路站1300米,约12㎡,3楼,NaN,1630
169,锦绣路,莲文苑,3室1厅,NaN,约10㎡,4楼,NaN,1560
170,锦绣路,莲文苑,3室1厅,距13号线张江路站1300米,约14㎡,4楼,独立阳台,1800
171,莘庄,莘城公寓,3室1厅,NaN,约15㎡,3楼,NaN,1530
172,莘庄,莘城公寓,3室1厅,距11号线御桥站250米,约19㎡,3楼,NaN,1630
173,锦绣路,锦博苑,3室1厅,NaN,约15㎡,4楼,NaN,1800
174,金海路,丰舍东苑,4室1厅,距12号线七莘路站700米,约17㎡,4楼,独立阳台,1460
175,金海路,丰舍东苑,4室1厅,NaN,约15㎡,4楼,NaN,1400
176,金海路,丰舍东苑,4室1厅,距7号线锦绣路站300米,约10㎡,4楼,NaN,1130
177,金海路,丰舍东苑,4室1厅,NaN,约10㎡,4楼,NaN,1130
178,张江路,申城佳苑三期B块,3室1厅,距7号线锦绣路站550米,约10㎡,5楼,NaN,1776
179,张江路,申城佳苑三期B块,3室1厅,NaN,约16㎡,5楼,独立阳台,2006
180,张江路,申城佳苑三期B块,3室1厅,距7号线锦绣路站550米,约13㎡,5楼,NaN,1946
181,北蔡,绿川新苑,3室1厅,NaN,约17㎡,4楼,NaN,1480
182,御桥,地杰国际城f欧香四季,3室1厅,距13号线在建北蔡站850米,约15㎡,11楼,NaN,1630
183,张江路,申城佳苑三期B块,3室1厅,NaN,约10㎡,4楼,NaN,1746
184,张江路,申城佳苑三期B块,3室1厅,距11号线御桥站250米,约16㎡,4楼,独立阳台,2076
185,张江路,申城佳苑三期B块,3室1厅,NaN,约13㎡,4楼,NaN,1946
186,御桥,和合新村西区,4室1厅,距13号线张江路站1300米,约14㎡,6楼,NaN,1200
187,御桥,和合新村西区,4室1厅,NaN,约13㎡,6楼,NaN,1100
188,御桥,和合新村西区,4室1厅,距13号线张江路站1300米,约50㎡,6楼,NaN,1230
189,张江路,申城佳苑三期B块,3室1厅,NaN,约9㎡,6楼,NaN,1576
190,张江路,申城佳苑三期B块,3室1厅,距13号线张江路站1300米,约13㎡,6楼,NaN,1976
191,张江路,申城佳苑三期B块,3室1厅,NaN,约17㎡,6楼,独立阳台,2146
192,合川路,大上海国际花园（十五区）,4室1厅,距11号线御桥站850米,约25㎡,6楼,独立阳台,2020
193,祁华路,葑润华庭,3室1厅,NaN,约17㎡,6楼,NaN,1846
194,创新中路,培元新苑,3室1厅,距11号线御桥站850米,约9㎡,6楼,NaN,1546
195,春申路,绿水家园,3室1厅,NaN,约19㎡,6楼,独立卫生间独立淋浴,2566
196,芳芯路,高科西路3060弄,3室1厅,距11号线御桥站850米,约14㎡,4楼,NaN,2116
197,泗泾,泗泾新苑,3室1厅,NaN,约15㎡,15楼,NaN,1746
198,张江路,申城佳苑三期B块,4室1厅,距13号线张江路站1300米,约17㎡,4楼,独立阳台,2006
199,张江路,申城佳苑三期B块,4室1厅,NaN,约19㎡,4楼,独立卫生间独立淋浴,2306
200,张江路,申城佳苑三期B块,4室1厅,距13号线张江路站1300米,约9㎡,4楼,NaN,1506
201,张江路,申城佳苑三期B块,4室1厅,NaN,约12㎡,4楼,NaN,1676
202,九亭,英伦风尚,4室1厅,距13号线张江路站1300米,约25㎡,2楼,独立卫生间独立淋浴,1930
203,虹桥火车站,爱博二村,3室1厅,NaN,约15㎡,1楼,NaN,1500
204,大华三路,枫庭丽苑,4室1厅,距9号线九亭站1550米,约22㎡,4楼,独立阳台,2000
205,大华三路,枫庭丽苑,4室1厅,NaN,约16㎡,4楼,NaN,1830
206,大华三路,枫庭丽苑,4室1厅,"距2号线,10号线虹桥火车站站1800米",约16㎡,4楼,NaN,1760
207,大华三路,枫庭丽苑,4室1厅,NaN,约9㎡,4楼,NaN,1400
208,上海儿童医学中心,中福公寓,4室1厅,距7号线大华三路站1450米,约25㎡,23楼,NaN,2400
209,上海儿童医学中心,中福公寓,4室1厅,NaN,约10㎡,23楼,NaN,1700
210,上海儿童医学中心,中福公寓,4室1厅,距7号线大华三路站1450米,约13㎡,23楼,NaN,1830
211,上海儿童医学中心,中福公寓,4室1厅,NaN,约19㎡,23楼,独立卫生间独立淋浴,2730
212,虹桥火车站,爱博四村,4室1厅,距7号线大华三路站1450米,约11㎡,2楼,NaN,1260
213,虹桥火车站,爱博四村,4室1厅,NaN,约24㎡,2楼,独立卫生间独立淋浴,2100
214,虹桥火车站,爱博四村,4室1厅,距7号线大华三路站1450米,约20㎡,2楼,独立阳台,1700
215,顾戴路,新时代景庭,4室1厅,NaN,约13㎡,1楼,NaN,2106
216,上海西站,万里二期,4室1厅,距6号线上海儿童医学中心站1200米,约20㎡,1楼,独立卫生间独立淋浴,2786
217,虹桥路,京河大厦,3室1厅,NaN,约15㎡,16楼,NaN,2430
218,北洋泾路,弘扬沁园,4室1厅,距6号线上海儿童医学中心站1200米,约20㎡,13楼,独立卫生间独立淋浴,2560
219,虹漕路,金桂苑,4室1厅,NaN,约16㎡,13楼,NaN,2200
220,虹漕路,金桂苑,4室1厅,距6号线上海儿童医学中心站1200米,约20㎡,13楼,独立卫生间独立淋浴,2900
